poi_id,lat,lng,name,parking,access,capacity_osm
way/154471854,43.0506343,141.4588539,,,,
way/154471862,43.0523292,141.460295,,surface,customers,
way/154489395,43.0791532,141.3572949,,,customers,
way/154490457,43.0950113,141.3494298,タイムズ,surface,,176
way/154490724,43.1020951,141.3691184,,,customers,
way/154490725,43.1011997,141.3693965,,,,
way/154493824,43.0725806,141.3700143,,,customers,
way/154511753,43.0795317,141.3611451,,surface,customers,
way/154685747,43.0971557,141.3700806,,,customers,
way/154685751,43.0975574,141.3683729,,,,
way/154698661,43.0904898,141.3740177,タイムズ,surface,,170
way/154709780,43.0680489,141.356022,日の丸パーキング,surface,yes,207
way/154853691,43.074657,141.3802496,,,customers,
way/154857384,43.0796893,141.3629584,,,customers,
way/154859797,43.0814134,141.358225,,surface,customers,
way/154876491,43.0852254,141.3742845,,,customers,
way/154876496,43.0851088,141.3747149,タイムズ,surface,,25
way/155013318,43.1007703,141.3684535,,,customers,
way/155275124,43.1035891,141.3652024,,,customers,
way/155371024,43.1100621,141.3815228,,surface,yes,
way/155426508,43.1130574,141.3697387,タイムズ,surface,,141
way/155518215,43.1171318,141.3736912,,,,
way/155569425,43.1215574,141.3640823,,,customers,
way/155572854,43.0902342,141.3410216,,,customers,
way/155572858,43.089602,141.3361327,,surface,customers,
way/155781151,43.0619796,141.3537242,,,,
way/155793108,43.0547593,141.3498411,駐車場ジャンボ1000,multi-storey,,
way/155801646,43.0793847,141.4038599,,,customers,
way/155910358,43.0999484,141.3400179,三井のリパーク,surface,,142
way/155911629,43.1069044,141.3406,三井のリパーク,surface,,84
way/155911630,43.107494,141.3407691,三井のリパーク,surface,,58
way/155919129,43.0945862,141.3993783,,,customers,
way/155919132,43.0958063,141.3986658,,,customers,
way/155923072,43.1008334,141.403888,,,customers,
way/155923073,43.1015072,141.4026769,,,customers,
way/155923074,43.1013609,141.401835,,,customers,
way/155923075,43.101812,141.4029144,,,customers,
way/155986797,43.1574703,141.4000416,,,customers,
way/155986801,43.1575384,141.3980896,,,customers,
way/155986810,43.1566119,141.3977382,,,customers,
way/160440213,42.9977466,141.4577976,,surface,customers,
way/160440214,42.9968977,141.4592664,,surface,customers,
way/160440215,42.9991758,141.4594566,,surface,customers,
way/160440218,42.9990069,141.4605375,,,,
way/161618556,43.0460805,141.3731236,,surface,,
way/161769312,43.0315618,141.3805763,,surface,,
way/162570461,43.0149912,141.3570753,,surface,customers,
way/162680904,43.0819612,141.3454743,t,surface,,
way/163766278,43.0760672,141.338283,,surface,private,82
way/164455666,42.9674373,141.2982836,,,,
way/164978665,42.933156,141.3044392,,,,
way/165310968,42.998935,141.3350528,,,,
way/165922211,43.048552,141.3561667,,,,
way/167061501,43.0562752,141.334468,,surface,,
way/167924985,43.0770249,141.2876865,,surface,customers,
way/168385347,43.0434863,141.2571379,,,,
way/168385349,43.0449174,141.2579569,,,,
way/168589923,43.0767174,141.3219211,,,,
way/168589925,43.0750644,141.3229295,,,,
way/168967993,43.0950412,141.2757072,,surface,customers,
way/168968001,43.0968096,141.2774263,,surface,customers,
way/168968005,43.0958715,141.2754145,,surface,customers,
way/169117789,43.1248583,141.2105007,,,,
way/169117799,43.1229152,141.2141662,,,,
way/169232411,43.1211907,141.244546,,surface,,
way/169232413,43.1213409,141.2461694,,,,
way/169316939,43.1363741,141.2299544,,,,
way/169405442,43.1405663,141.23465,,,customers,
way/169405447,43.1418717,141.2321649,,,customers,
way/169405452,43.1428026,141.2326504,,,customers,
way/169405458,43.1408631,141.2331185,,,customers,
way/170060696,43.1407563,141.3501822,,,customers,
way/170113051,43.1589242,141.3362132,,surface,customers,
way/170698993,43.0930932,141.3604441,,,customers,
way/170704232,42.9880743,141.440792,,,,
way/170705719,43.010552,141.4552699,,surface,,
way/170705720,43.008881,141.3646137,,surface,,
way/170707012,43.0609958,141.2634928,第1 駐車場,surface,customers,
way/170707013,43.0573154,141.2685609,,,,
way/170707017,43.0610152,141.2643958,第2 駐車場,surface,customers,
way/170707025,43.0570158,141.2693675,,,,
way/171000290,43.0956568,141.5246669,,,,
way/171732092,43.0975937,141.5316482,,surface,customers,
way/171732093,43.0979678,141.5328745,,surface,,
way/172097106,43.0793832,141.5348603,,,,
way/172097107,43.0804774,141.5326619,,,,
way/182522746,43.125605,141.225634,,surface,,
way/182522747,43.1260622,141.2259257,,surface,,
way/184271548,43.0820949,141.3462536,,surface,private,
way/184694524,43.0902655,141.5315022,,,,
way/184694526,43.0994495,141.5448521,,,,
way/184694530,43.0879929,141.533772,,surface,,
way/184694532,43.0946804,141.5213434,,,,
way/184694533,43.1135795,141.5254002,,surface,customers,
way/184694534,43.1093662,141.5317517,,,,
way/184694537,43.1100104,141.5305163,,,,
way/184696514,43.0804863,141.4996175,,,,
way/184696596,43.1109347,141.5299364,,,,
way/184696917,43.1005351,141.5478064,,,,
way/184706565,43.0898885,141.5205386,,surface,,
way/184706844,43.1002582,141.5343863,,,customers,
way/184709571,43.1068245,141.5428478,,,,
way/185048102,43.0913417,141.5067926,,,,
way/185051355,43.0986796,141.5489847,,,,
way/185054166,43.092337,141.5206046,,,,
way/185282164,43.0740695,141.4954206,大麻中町駐車場,surface,,
way/185282165,43.0734425,141.4966677,タイムズ,surface,,97
way/185917927,43.0654669,141.4793818,,,,
way/186421865,43.0944767,141.5101558,,,,
way/186713380,43.1115789,141.5586052,タイムズ,surface,,69
way/186845647,43.0585978,141.4851084,,surface,,
way/189717882,43.1417268,141.2097878,,surface,,
way/189780743,43.0666865,141.3547816,,multi-storey,,
way/189848985,43.1397263,141.1876577,,,,
way/189848988,43.1356231,141.1886595,,surface,,
way/190019230,43.1356477,141.193389,,surface,,
way/190062311,43.1329535,141.2103307,,surface,,
way/190443673,43.062578,141.3523712,,multi-storey,,
way/191407060,43.0642675,141.3537885,三井のリパーク 札幌北２西２,surface,,20
way/191407061,43.0649573,141.3538926,三井のリパーク,,,17
way/191407064,43.0637304,141.3538358,,multi-storey,,
way/193091617,43.0766084,141.2926635,,,,
way/193454951,42.8998499,140.7443424,,surface,,
way/195862850,42.9060857,140.7546065,,surface,,
way/195862855,42.9002983,140.7458279,,surface,,
way/195862858,42.9050031,140.7537823,,surface,,
way/195862860,42.9032277,140.7567876,,surface,,
way/195862863,42.9007828,140.7464455,,surface,,
way/195862864,42.9016521,140.7566532,,surface,,
